country,city,name,is_separated,beach_id,__v,blue_flag,additional_info.beach_phone,additional_info.fee,additional_info.parking,accessible,disabilities_status,additional_info.bathroom,additional_info.visitor_center,additional_info.dog_friendly,additional_info.strollers,additional_info.picnic,additional_info.camping_friendly,additional_info.sandy,additional_info.dunes,additional_info.rocky,additional_info.bluff,additional_info.stairstobeach,additional_info.pathtobeach,additional_info.blufftoop_trails,additional_info.blufftoop_park,additional_info.wildlife,additional_info.tidepool,additional_info.volleyball,additional_info.fishing_friendly,additional_info.boat_friendly,additional_info.geo_area,lat,lon,additional_info.beach_photo1,additional_info.beach_photo2,additional_info.beach_photo3,additional_info.beach_photo4,additional_info.beach_wheelchair,bike_path,additional_info.boatfacil,
United States,Newport County,Easton's Beach (First Beach),FALSE,1862,1862,FALSE,(401) 845-5810,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,Newport,41.4878,-71.2918,https://assets.simpleviewinc.com/simpleview/image/upload/c_fill%2Ch_457%2Cq_50%2Cw_810/v1/crm/rhodeisland/140-3-1887_4921d7c5-6335-420e-b63e-6c5cbc5070d4_40a21a29-5056-a36a-09b95ace5643505e.jpg,,,,Accessible Beach Wheelchairs Available,TRUE,,
United States,Newport County,Sachuest Beach (Second Beach),FALSE,1863,1863,FALSE,(401) 849-2822,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,TRUE,,,TRUE,FALSE,Middletown,41.4886,-71.2561,,,,,,FALSE,,
United States,Newport County,Third Beach,FALSE,1864,1864,FALSE,(401) 842-6522,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,TRUE,Middletown,41.4898,-71.248,,,,,,FALSE,Boat Ramp,
United States,Newport County,King Park Beach,FALSE,1865,1865,FALSE,(401) 845-5300,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,TRUE,Newport,41.4795,-71.3177,,,,,,FALSE,,
United States,Newport County,Gooseberry Beach,FALSE,1866,1866,FALSE,(401) 847-7922,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,FALSE,,,FALSE,FALSE,Newport,41.4602,-71.3211,,,,,,FALSE,,
United States,Newport County,Goosewing Beach,FALSE,1867,1867,FALSE,(401) 331-7110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,TRUE,FALSE,Little Compton,41.4775,-71.1735,,,,,,FALSE,,
United States,Newport County,Sandy Point Beach,FALSE,1868,1868,FALSE,(401) 787-0281,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,,TRUE,FALSE,Portsmouth,41.641,-71.2403,,,,,,FALSE,,
United States,Newport County,Fogland Beach,FALSE,1869,1869,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,,,TRUE,TRUE,Tiverton,41.5387,-71.2009,,,,,,FALSE,,
United States,Newport County,Grinnell's Beach,FALSE,1870,1870,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,,FALSE,,,,,,,,,,,Tiverton,41.6361,-71.2062,,,,,,FALSE,,
United States,Newport County,South Shore Beach,FALSE,1871,1871,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,Little Compton,41.4712,-71.1795,,,,,,FALSE,,
United States,Newport County,Mackerel Cove (Jamestown Town Beach),FALSE,1872,1872,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,FALSE,TRUE,,FALSE,FALSE,,,,,,,,,,Jamestown,41.4843,-71.3823,,,,,,FALSE,,
United States,Newport County,Fort Adams State Park Beach,FALSE,1873,1873,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,TRUE,Newport,41.4822,-71.3389,,,,,,TRUE,Boat Ramp,
United States,South County,Scarborough State Beach,FALSE,1874,1874,FALSE,(401) 789-2324,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,FALSE,Narragansett,41.3898,-71.4731,,,,,Accessible Beach Wheelchairs Available,FALSE,,
United States,South County,Narragansett Town Beach,FALSE,1875,1875,FALSE,(401) 783-6430,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,TRUE,FALSE,FALSE,Narragansett,41.4309,-71.4566,,,,,,FALSE,,
United States,South County,Salty Brine State Beach,FALSE,1876,1876,FALSE,(401) 789-8374,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,FALSE,Narragansett,41.3754,-71.5117,,,,,Accessible Beach Wheelchairs Available,FALSE,,
United States,South County,East Matunuck State Beach,FALSE,1877,1877,FALSE,(401) 789-8585,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,FALSE,South Kingstown,41.3765,-71.5287,,,,,Accessible Beach Wheelchairs Available,FALSE,,
United States,South County,Roger Wheeler State Beach,FALSE,1878,1878,FALSE,(401) 789-3563,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,FALSE,Narragansett,41.3709,-71.4967,,,,,,FALSE,,
United States,South County,Misquamicut State Beach,FALSE,1879,1879,FALSE,(401) 596-9097,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,FALSE,FALSE,Westerly,41.3237,-71.8028,,,,,Accessible Beach Wheelchairs Available,FALSE,,
United States,South County,South Kingstown Town Beach,FALSE,1880,1880,FALSE,(401) 789-9301,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,,FALSE,,,,,,,,,,,South Kingstown,41.3996,-71.5134,,,,,,FALSE,,
United States,South County,Charlestown Town Beach,FALSE,1881,1881,FALSE,(401) 364-1208,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,Charlestown,41.359,-71.637,,,,,,FALSE,,
United States,South County,Blue Shutters Town Beach,FALSE,1882,1882,FALSE,(401) 364-1206,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,FALSE,Charlestown,41.3393,-71.6981,,,,,Beach-accessible wheelchairs available at no charge,FALSE,,
United States,South County,Charlestown Breachway State Beach,FALSE,1883,1883,FALSE,(401) 364-7000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,TRUE,TRUE,Charlestown,41.3567,-71.6392,,,,,,FALSE,Boat Ramp,
United States,South County,East Beach / Ninigret Conservation Area,FALSE,1884,1884,FALSE,(401) 322-0450,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,TRUE,FALSE,Charlestown,41.3478,-71.6733,,,,,,FALSE,,
United States,South County,Napatree Point Beach & Conservation Area,FALSE,1885,1885,FALSE,(401) 348-6540,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,TRUE,FALSE,Westerly,41.311,-71.858,,,,,,FALSE,,
United States,South County,Watch Hill Beach,FALSE,1886,1886,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,FALSE,FALSE,Westerly,41.309,-71.8595,,,,,,FALSE,,
United States,South County,Dunes Park Beach,FALSE,1887,1887,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,Westerly,41.3389,-71.792,,,,,,FALSE,,
United States,South County,Moonstone Beach,FALSE,1888,1888,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,TRUE,FALSE,South Kingstown,41.3698,-71.5728,,,,,,FALSE,,
United States,Warwick & West Bay,Oakland Beach,FALSE,1889,1889,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,FALSE,FALSE,Warwick,41.6888,-71.3927,,,,,,FALSE,,
United States,Warwick & West Bay,Conimicut Point Beach,FALSE,1890,1890,FALSE,(401) 738-2000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,TRUE,,,TRUE,FALSE,Warwick,41.7163,-71.3614,,,,,,FALSE,,
United States,Warwick & West Bay,Warwick City Park Beach (Buttonwoods),FALSE,1891,1891,FALSE,(401) 738-2000,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,,FALSE,FALSE,Warwick,41.6887,-71.4067,,,,,,TRUE,,
United States,Warwick & West Bay,Goddard Memorial State Park Beach,FALSE,1892,1892,FALSE,(401) 884-2010,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,,,TRUE,TRUE,Warwick,41.6584,-71.4366,,,,,,TRUE,Hand Launch,
United States,Warwick & West Bay,Calf Pasture Point Beach,FALSE,1893,1893,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,,FALSE,,,,,,,,,,,Warwick,41.6282,-71.4061,,,,,,FALSE,,
United States,East Bay,Bristol Town Beach & Sports Complex,FALSE,1894,1894,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,TRUE,FALSE,TRUE,,TRUE,FALSE,,,,,FALSE,,,TRUE,FALSE,Bristol,41.6773,-71.2873,,,,,,TRUE,,
United States,East Bay,Barrington Town Beach,FALSE,1895,1895,FALSE,(401) 247-1926,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,,FALSE,FALSE,,,,,,,,TRUE,TRUE,Barrington,41.7222,-71.3089,,,,,,FALSE,,
United States,Block Island,Crescent Beach (Fred Benson Town Beach),FALSE,1896,1896,FALSE,(401) 466-2982,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,FALSE,New Shoreham,41.175,-71.555,,,,,,FALSE,,
United States,Block Island,Mansion Beach,FALSE,1897,1897,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,FALSE,,,TRUE,FALSE,New Shoreham,41.19,-71.555,,,,,,FALSE,,
United States,Block Island,Scotch Beach,FALSE,1898,1898,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,TRUE,FALSE,New Shoreham,41.1932,-71.5639,,,,,,FALSE,,
United States,Block Island,Mohegan Bluffs Beach,FALSE,1899,1899,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,,TRUE,FALSE,New Shoreham,41.145,-71.56,,,,,,FALSE,,
United States,Block Island,Baby Beach,FALSE,1900,1900,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,,FALSE,,,,,,,,,FALSE,FALSE,New Shoreham,41.1693,-71.559,,,,,,FALSE,,
United States,Block Island,Ballard's Beach,FALSE,1901,1901,FALSE,(401) 466-2231,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,,FALSE,,,,,,,,,FALSE,TRUE,New Shoreham,41.165,-71.558,,,,,,FALSE,,
United States,Blackstone Valley,Lincoln Woods State Park Beach (Olney Pond),FALSE,1902,1902,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,,,TRUE,TRUE,Lincoln,41.8528,-71.4353,,,,,,TRUE,Hand Launch,
